code,estimated_price,estimation_basis,source_urls,notes
MOB_5DD02_ES,3000,supposition,,
MOB_5DD03_US,55503,found_data,https://synapses.telecom-paris.fr/catalogue/2025-2026/ue/17419/MOB-5DD03-US-double-diplome-avec-columbia-university-master-en-biomedical-engineering?from=P5742|https://sfs.columbia.edu/content/graduate-engineering-cost-attendance|https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/eurofxref-graph-usd.en.html,"Columbia 2025-2026 tuition computed as $64,800/year (12 points/semester @ $2,700); converted to EUR using ECB rate on 8 Jan 2026 (EUR 1 = USD 1.1675)."
MOB_5DD05_CA,20000,supposition,,
MOB_5DD06_SG,30000,supposition,,
MOB_5DD07_CM,15000,supposition,,
MOB_5DD08_SE,0,found_data,https://synapses.telecom-paris.fr/catalogue/2025-2026/ue/2800/MOB-5DD08-SE-double-diplome-en-informatique-avec-l-institut-royal-de-technologie-kth-stockholm-suede-18-mois?from=P5742|https://www.kth.se/en/student/studier/utlandsstudier/utbyte/finansiering/finansiering-for-utbytesstudier-1.993,Exchange/double-degree mobility: exchange students do not pay tuition at the host exchange university (KTH guidance).
MOB_5DD09_SE,0,found_data,https://synapses.telecom-paris.fr/catalogue/2025-2026/ue/2826/MOB-5DD09-SE-double-diplome-en-genie-electrique-avec-l-institut-royal-de-technologie-kth-stockholm-suede-18-mois?from=P5742|https://www.kth.se/en/student/studier/utlandsstudier/utbyte/finansiering/finansiering-for-utbytesstudier-1.993,KTH exchange tuition typically waived; administrative fees may still apply (per KTH guidance).
MOB_5DD10_IT,3600,derived_from_university_policy,https://synapses.telecom-paris.fr/catalogue/2024-2025/ue/19632/MOB-5DD10-EU-double-diplome-au-politecnico-di-torino?from=P5055|https://www.polito.it/sites/default/files/2025-08/ENG_Regolamento%20contribuz_immatricolati%20da%20aa%202526.pdf,"Politecnico di Torino tuition for A.Y. 2025/2026 reported as Tmin €600 to Tmax €3,600; this estimate uses Tmax as conservative annual estimate."
MOB_5DD11_DE,12000,supposition_with_policy_reference,https://synapses.telecom-paris.fr/catalogue/2025-2026/ue/2801/MOB-5DD11-DE-double-diplome-en-informatique-avec-l-universite-technique-de-munich-tum-allemagne-18-mois?from=P5694|https://www.tum.de/en/studies/fees/tuition,"TUM introduced tuition for some non-EU students (often €4,000–€6,000/semester depending on program). This estimate assumes €6,000/semester (~€12,000/year); exchange/double-degree agreements may change what is paid—verify per student status."
MOB_5DD13_BR,0,supposition_with_public_university_assumption,https://en.wikipedia.org/wiki/Instituto_Tecnol%C3%B3gico_de_Aeron%C3%A1utica,ITA is a public institution; sources indicate free tuition for admitted students (verify for visiting/double-degree status).
MOB_5DD14_BR,0,supposition,,
MOB_5DD15_BR,0,supposition,,
MOB_5DD16_VT,0,supposition,,
MOB_5DD17_BR,0,supposition,,
MOB_5DD18_BR,0,supposition,,
MOB_5DD19_CN,6000,supposition,,
MOB_5DD20_BR,0,derived_from_partner_fact_sheet,https://synapses.telecom-paris.fr/catalogue/2025-2026/ue/27673/MOB-5DD20-BR-double-diplome-a-l-universidade-federal-do-rio-grande-do-sul-ufrgs-bresil?from=P5742|https://www.uam.es/uam/media/doc/1606871074815/ufrgs-fact-sheet---en---2020-21-updated.pdf,UFRGS described as a federal public institution 'totally free of charge' (fact sheet).
MOB_5DD21_CN,6000,supposition,,
MOB_5DD22_CO,4000,supposition,,
MOB_5DD24_UR,0,found_data,https://synapses.telecom-paris.fr/catalogue/2025-2026/ue/27677/MOB-5DD24-UR-double-diplome-a-l-universidad-de-la-republica-montevideo-udelar-uruguay?from=D4,SynapseS states: students pay registration at Télécom Paris and are exempt from registration fees at UDELAR (host tuition = 0).
MOB_5DD25_BR,0,supposition,,
MOB_5DD26_BR,0,supposition,,
MOB_5DD27_PE,15000,supposition,,
MOB_5DD28_BR,0,supposition,,
MOB_5DD29_BR,0,supposition,,
MOB_5DD30_BR,0,supposition,,
MOB_5DD31_BR,0,supposition,,
MOB_5Ex01_BE,15000,supposition,,
MOB_5Ex02_BE,15000,supposition,,
MOB_5Ex03_DE,1000,supposition,,
MOB_5Ex04_GR,15000,supposition,,
MOB_5Ex05_LB,15000,supposition,,
