code,price,basis,note
MOB_5DD03_US,55286,"$65,000","Synapses MOB_5DD03_US indicates Columbia tuition fees $65,000."
MOB_5DD05_CA,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5DD06_SG,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5DD08_SE,0,0 EUR,Synapses MOB_5DD08_SE notes exchange students pay no tuition; EU/EEA free.
MOB_5DD09_SE,0,0 EUR,Synapses MOB_5DD08_SE notes exchange students pay no tuition; EU/EEA free.
MOB_5DD10_IT,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5DD11_DE,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5DD13_BR,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5DD14_BR,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5DD15_BR,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5DD16_VT,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5DD17_BR,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5DD18_BR,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5DD19_CN,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5DD20_BR,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5DD21_CN,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5DD22_CO,0,0 EUR,Synapses MOB_5DD22_CO says EIA does not charge additional academic/admin fees; second year local fees; no fees for international.
MOB_5DD24_UR,0,0 EUR (unless specified),Synapses agreement info: tuition paid at Telecom/host depending on agreement; often no extra host tuition.
MOB_5Ex10_CN,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex11_FI,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex12_TR,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex13_BE,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex14_CA,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex15_CH,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex16_CA,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex17_VT,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex18_GB,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex21_RU,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex22_KR,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex23_SE,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex24_JP,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex25_NO,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex26_TW,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex27_SG,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex28_IT,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex29_IT,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex30_BR,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex31_KR,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex33_CN,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex34_MX,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex35_DE,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex36_DE,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex37_DE,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex38_DE,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex39_AT,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex40_AU,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex41_AR,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex42_MX,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex43_BR,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex44_CO,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex45_CO,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex46_ES,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex47_HR,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex48_DE,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex49_ES,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex50_ES,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex52_ES,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex53_PL,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex55_IT,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex56_PL,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex57_PL,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex58_PT,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex59_PT,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex60_DE,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex61_FN,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex62_CZ,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex63_GR,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex86_CN,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex87_TW,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex88_IN,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
