code,related_filieres,mapping_basis
MOB_5DD02_ES,GIN;SLR;MITRO;RIO,supposition
MOB_5DD03_US,DSAI;MACS;SPAI;MITRO;SLR,heuristic_from_title
MOB_5DD05_CA,GIN;SLR;MITRO;RIO,supposition
MOB_5DD06_SG,GIN;SLR;MITRO;RIO,supposition
MOB_5DD07_CM,GIN;SLR;MITRO;RIO,supposition
MOB_5DD08_SE,CYBER;DSAI;MITRO;SLR,heuristic_from_title
MOB_5DD09_SE,GIN;SLR;MITRO;RIO,supposition
MOB_5DD10_IT,GIN;SLR;MITRO;RIO,supposition
MOB_5DD11_DE,CYBER;DSAI;MITRO;SLR,heuristic_from_title
MOB_5DD13_BR,GIN;IGR;SE,heuristic_from_title
MOB_5DD14_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5DD15_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5DD16_VT,GIN;SLR;MITRO;RIO,supposition
MOB_5DD17_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5DD18_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5DD19_CN,IGR;IMA,heuristic_from_title
MOB_5DD20_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5DD21_CN,GIN;SLR;MITRO;RIO,supposition
MOB_5DD22_CO,GIN;SLR;MITRO;RIO,supposition
MOB_5DD24_UR,IGR;IMA,heuristic_from_title
MOB_5DD25_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5DD26_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5DD27_PE,GIN;SLR;MITRO;RIO,supposition
MOB_5DD28_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5DD29_BR,IGR;IMA,heuristic_from_title
MOB_5DD30_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5DD31_BR,ACCQ;MACS;MITRO,heuristic_from_title
MOB_5Ex01_BE,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex02_BE,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex03_DE,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex04_GR,MITRO;MODS,heuristic_from_title
MOB_5Ex05_LB,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex06_LB,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex07_IT,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex08_DK,IGR;IMA,heuristic_from_title
MOB_5Ex09_EE,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex10_CN,IGR;IMA,heuristic_from_title
